Business Name,price,product_name,quantity,Retailer Id,sku,status
New Arora Electronics,57164,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B02BE7A039,ACTIVE
New Arora Electronics,82980,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B02D97A500,ACTIVE
New Arora Electronics,202840,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B02F57A037,ACTIVE
New Arora Electronics,52785,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B023B7A220,ACTIVE
New Arora Electronics,58086,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B033B7A832,ACTIVE
New Arora Electronics,30166,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B01567A743,ACTIVE
New Arora Electronics,132768,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B01797A909,ACTIVE
New Arora Electronics,64079,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B02007A304,ACTIVE
New Arora Electronics,52785,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B02227A783,ACTIVE
New Arora Electronics,132768,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B02627A475,ACTIVE
New Arora Electronics,33212,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B02947A045,ACTIVE
New Arora Electronics,76526,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B03127A295,ACTIVE
New Arora Electronics,67767,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B03527A919,ACTIVE
New Arora Electronics,57164,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B03767A775,ACTIVE
New Arora Electronics,64079,hitachi multidoor refrigerator,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D4B03997A540,ACTIVE
New Arora Electronics,59930,lg as60gdwt0,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D36BA0121325,ACTIVE
New Arora Electronics,13550,godrej  ws 720 ct wine red,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D600A9C7A136EXC,ACTIVE
New Arora Electronics,15760,godrej  fully-automatic top loading washing machine,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D600AE07A617GRE,ACTIVE
New Arora Electronics,27650,godrej eon u sonic fully automatic washing machine,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D600AFD7A339MET,ACTIVE
New Arora Electronics,18620,godrej wta eon 650 ci,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D600B277A816AUT,ACTIVE
New Arora Electronics,18620,godrej wta eon 650 ci,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D600B467A043GRA,ACTIVE
New Arora Electronics,98080,lg as95gdwt0,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D3589A121034,ACTIVE
New Arora Electronics,13550,godrej  ws 720 ct wine red,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D6001FF7A466WIN,ACTIVE
New Arora Electronics,12810,godrej  ws 680 ct apple green,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D6005E67A890APP,ACTIVE
New Arora Electronics,13180,godrej  ws 700 ct wine red,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D6006A67A374WIN,ACTIVE
New Arora Electronics,16500,godrej wta eon 620 ci,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D6006D47A258COC,ACTIVE
New Arora Electronics,12810,godrej  ws 680 ct wine red,10,1549442950175-d41d747f-7642-4344-8621-ec2d0886f355,NFVHMA5D6007A77A289WIN,ACTIVE
